Row Labels,Count of Survived,Sum of Survived,,,,,,,,,
female,314,233,0.742038217,,,,,,,,
male,577,109,0.188908146,,,,,,,,
Grand Total,891,342,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Row Labels,Sum of Survived,Count of Survived2,Proportion,,,,,,,,
female,233,314,,,"Age<= 5, 1",,,,,,
1,16,21,0.761904762,,"Age<=15, 2",,,,,,
2,12,22,0.545454545,,"Age<=36, 3",,,,,,
3,119,152,0.782894737,,"Age<=55, 4",,,,,,
4,42,57,0.736842105,,"Age>55, 5",,,,,,
5,8,9,0.888888889,,,,,,,,
NA,36,53,0.679245283,,76% female kids<5 years survived,,,,,,
male,109,577,,, women (between 15-36) had a 78% chance of survival where as male(between15-36) only had an 18% chance of survival.,,,,,,
1,15,23,0.652173913,,,,,,,,
2,6,17,0.352941176,,,,,,,,
3,50,284,0.176056338,,,,,,,,
4,18,98,0.183673469,,,,,,,,
5,4,31,0.129032258,,,,,,,,
NA,16,124,0.129032258,,,,,,,,
Grand Total,342,891,,,,,,,,,
,,,,,,,,,,,
Row Labels,Sum of Survived,Count of Survived2,,Row Labels,Sum of Survived,Count of Survived2,Proportion,,,,
female,233,314,,female,233,314,,,,,
1,16,21,,1,91,94,0.968085106,,,,
1,0,1,,2,91,94,0.968085106,,,,
2,5,5,,2,70,76,0.921052632,,,,
3,11,15,,2,70,76,0.921052632,,,,
2,12,22,,3,72,144,,,,,
1,2,2,,1,38,64,0.59375,,,,
2,5,5,,2,34,80,0.425,,,,
3,5,15,,male,109,577,,,,,
3,119,152,,1,45,122,,,,,
1,46,47,,1,0,6,0,,,, 
2,44,47,,2,45,116,0.387931034,,,,
3,29,58,,2,17,108,,,,,
4,42,57,,1,0,6,0,,,,
1,27,28,,2,17,102,0.166666667,,,,
2,14,16,,3,47,347,,,,,
3,1,13,,1,29,260,0.111538462,,,,
5,8,9,,2,18,87,0.206896552,,,,
1,7,7,,Grand Total,342,891,,,,,
2,0,1,,,,,,,,,
3,1,1,,,,,,,,,
NA,36,53,,,,,,,,,
1,9,9,,,,,,,,,
2,2,2,,,,,,,,,
3,25,42,,,,,,,,,
male,109,577,,,,,,,,,
1,15,23,,,,,,,,,
1,2,2,,,,,,,,,
2,8,8,,,,,,,,,
3,5,13,,,,,,,,,
2,6,17,,,,,,,,,
1,1,1,,,,,,,,,
2,1,1,,,,,,,,,
3,4,15,,,,,,,,,
3,50,284,,,,,,,,,
1,20,38,,,,,,,,,
2,4,64,,,,,,,,,
3,26,182,,,,,,,,,
4,18,98,,,,,,,,,
1,14,41,,,,,,,,,
2,1,20,,,,,,,,,
3,3,37,,,,,,,,,
5,4,31,,,,,,,,,
1,3,19,,,,,,,,,
2,1,6,,,,,,,,,
3,0,6,,,,,,,,,
NA,16,124,,,,,,,,,
1,5,21,,,,,,,,,
2,2,9,,,,,,,,,
3,9,94,,,,,,,,,
Grand Total,342,891,,,,,,,,,
